Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
0,Dermalogica,Intern - Data Analyst,"Carson, CA",Actively Hiring,"Are you a data enthusiast with a knack for analyzing and interpreting complex information? Are you seeking a practical, hands-on internship experience that will put your theoretical knowledge to the test? If so, Dermalogica has a remarkable opportunity for you!



As a , you will have the opportunity to gain hands-on experience in analyzing and interpreting data to support decision-making processes within our organization. You will work closely with our data analytics team to collect, analyze, and visualize data, and contribute to the development of insights and recommendations.










Ready to transform your academic knowledge into practical skills with Dermalogica? Apply now and kickstart your career in data analytics!

All applications will be reviewed for consideration, and a member of the Human Resources team will contact you if your experience and skills are a match for the position.

Dermalogica is an equal opportunity employer that embraces diversity, equity, and inclusion.
Show more",https://www.linkedin.com/jobs/view/intern-data-analyst-at-dermalogica-3731940025?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=2YOTa1lsDEVqG2f6rCIqjA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,156,"Industries
Personal Care Product Manufacturing",0
1,Paramount,"Data Internships - AI/ML, Business Intelligence, Data Analytics & Science (Summer 2024 - NYC, LA)","New York, NY",Actively Hiring,"Emerging Talent at Paramount

College students, start your career at the forefront of culture and conversation and work for entertainment's most iconic brands!

Our Summer Internship Program offers endless ways to explore careers through an immersive 10-week, well-rounded paid program that encourages students to bring their passions and insights to work. Most importantly, the program acts as a pipeline for future opportunities.








Our mission is to use modern data science to inform decision-making relating to content windowing and investment across Paramount. In this area, you will join a group of top-notch data scientists and data engineers who build predictive models that support highly critical multi-million dollar content-related decisions. This will be achieved in collaboration with our other data science and research groups across Paramount. This represents a uniquely exciting opportunity for a machine learning engineer intern to deliver impact at a leading premium global content company, in an exciting and rapidly-evolving industry.






The Data Engineer Intern should possess a deep sense of curiosity and a passion for building smarter products based on data, and the ability to communicate data structures and tools throughout the Digital Media organization. If you have interest in helping support data pipeline development, which includes machine-learning algorithms using disparate data sources or extracting patterns from large datasets and transform data into an informational advantage this is a great role for you to consider!

Collaborate with the internal product and business intelligence teams to resolve the best approach around data ingestion, structure and storage, then working with the team to ensure accurate implementation.

Ability to break down and communicate highly complex data problems into simple, feasible solutions.






Data analytics & data science is at the heart of decision making in steaming and drives critical decisions across marketing, content & customer service here at Paramount! We are scaling up our international data analytics efforts for streaming to transform how we manage customers across all life cycles. Through testing, we drive business, product, and operational decisions by providing rich data, strategic insights, and product improvement decision-support. If you're a passionate analyst that has interests about data and entertainment and who thrives in a dynamic and fast-paced environment this may be the right role for you!






Data is key here at Paramount, and as part of the Data & Insights Group (DIG), our Business Intelligence team is a crucial part of our success. We drive business, content, product, and operational decisions by providing rich data, strategic insights and analytical products. We are looking for someone who is passionate about data and entertainment and who thrives in a dynamic and fast-paced environment. Does this sound like you?




Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.



Hiring Salary Range: $38.00.

The hiring salary range for this position applies to New York City, California, Colorado, Washington state, and most other geographies. Starting pay for the successful applicant depends on a variety of job-related factors, including but not limited to geographic location, market demands, experience, training, and education. The benefits available for this position include medical, dental, vision, 401(k) plan, life insurance coverage, disability benefits, tuition assistance program and PTO or, if applicable, as otherwise dictated by the appropriate Collective Bargaining Agreement.

https://www.paramount.com/careers/benefits

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to paramountaccommodations@paramount.com. Only messages left for this purpose will be returned.
Show more",https://www.linkedin.com/jobs/view/data-internships-ai-ml-business-intelligence-data-analytics-science-summer-2024-nyc-la-at-paramount-3727296872?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=ya%2BMGeRpOpPPI2EhQRMaxQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Entertainment Providers",38
2,Lockheed Martin,Data Scientist - Intern,"Highlands Ranch, CO",Actively Hiring,"Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.

Lockheed Martin Space is seeking a Summer 2024 Intern for a Data Scientist internship. In this role, you will support internal autonomous product development and conduct research on the application of AI/ML capabilities to support Space mission systems. The successful candidate will have experience and/or knowledge of data exploration, data modeling, and machine learning algorithm development.


Pursuing bachelor’s degree in quantitative majors such as computer science, physics, mathematics, electronics engineering, mechanical engineering, etc. Must have U.S. Citizenship.


Beginner to intermediate skills in python. Familiarity with Machine Learning / Deep Learning. Experience working with data and data modeling.

None


By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.

Full-time Remote Telework: The employee selected for this position will work remotely full time at a location other than a Lockheed Martin designated office/job site. Employees may travel to a Lockheed Martin office for periodic meetings.

Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.

Part-Time as assigned by leader


The annual base salary range for this position in Colorado or Washington is $20,904 - $67,288 . Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.

Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.

(Washington state applicants only) Non-represented full time employees: accrue 10 hours per month of Paid Time Off (PTO); receive 40 hours of Granted PTO annually for incidental absences; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of PTO per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO is prorated based on hours worked and start date during the calendar year.


The annual base salary range for this position in California or New York City is $24,024 - $67,288 . Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/ training, key skills as well as market and business considerations when extending an offer.

Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.


At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.

Co-op/Summer Intern

SPACE

Possible

Artificial Intelligence

Call-In

First
Show more",https://www.linkedin.com/jobs/view/data-scientist-intern-at-lockheed-martin-3695401138?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=oD%2FCavF5ryt039%2BpkXjDhw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Defense and Space Manufacturing",0
3,Lockheed Martin,"AI/ML - Intern Academy - Littleton, CO","Littleton, CO",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/ai-ml-intern-academy-littleton-co-at-lockheed-martin-3728460341?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=OTOKlp9rOy05zHOx%2FJf9cw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
4,Lockheed Martin,Data Science Intern,"Bethesda, MD",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-at-lockheed-martin-3711651088?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=JRae%2B%2FTVmKtBXE8q9I0BNw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
5,Vectra AI,"Data Science Internship - Boston, MA","Boston, MA",Actively Hiring,"Vectra® is the leader in AI-driven threat detection and response for hybrid and multi-cloud enterprises.

The Vectra AI Platform delivers integrated signal across public cloud, SaaS, identity, and data center networks in a single platform. Powered by patented Attack Signal Intelligence, it empowers security teams to rapidly prioritize, investigate and respond to the most advanced cyber-attacks. With 35 patents in AI-driven threat detection and the most vendor references in MITRE D3FEND, organizations worldwide rely on the Vectra AI to move at the speed and scale of hybrid attackers. For more information, visit www.vectra.ai.


Boston, MA


Apply cutting edge machine learning, artificial intelligence, and modeling techniques to stop hackers in real time as they attack networks. As part of the data science internship program, you will directly impact the product by developing new methods using cutting edge techniques to detect malicious and anomalous behaviors on the network.

We are looking for qualified undergraduate and graduate interns eager to learn and deliver a project that will be used in the product.



Vectra provides a comprehensive total rewards package that supports the financial, physical, mental and overall health of our employees and their families. Compensation includes competitive base pay, incentive plan eligibility, and participation in the employee equity plan (stock options). Specific benefits offered varies by location, but commonly include health care insurance, income protection / life insurance, access to retirement savings plans, behavioral & emotional wellness services, generous time away from work, and a comprehensive employee recognition program.

Vectra is committed to creating a diverse environment and is proud to be an equal opportunity employer.

We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
Show more",https://www.linkedin.com/jobs/view/data-science-internship-boston-ma-at-vectra-ai-3716784280?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=RXnIo33uAzJt9ai1nYt16Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,200,"Industries
Technology, Information and Internet",0
6,Lockheed Martin,Data Scientist Analyst - Intern,"Fort Worth, TX",Actively Hiring,"Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.

Lockheed Martin Aeronautics is seeking a Data Science Intern for Summer 2024. In this role, you will support the design and implementation of new technologies that facilitate the build of our products. The successful candidate will have experience and/or knowledge of computer programming and/or artificial intelligence and interest in manufacturing processes. Must be a US Citizen. This position is located at a facility that requires special access.





None


By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.

Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.

Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.


At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.

Co-op/Summer Intern

AERONAUTICS COMPANY

Housing Stipend

Data Science

Part-Time

First
Show more",https://www.linkedin.com/jobs/view/data-scientist-analyst-intern-at-lockheed-martin-3703114470?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=bx9dBJsheMC0COf5AE2c7w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,133,"Industries
Defense and Space Manufacturing",0
7,Biogen,"Co-op, Translational Data Sciences","Cambridge, MA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/co-op-translational-data-sciences-at-biogen-3735199674?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=94mqUnJwL5xo2EiT1jlHUA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
8,Sezzle,Data Science Intern- Minneapolis Based,"Minneapolis, MN",2 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/data-science-intern-minneapolis-based-at-sezzle-3684189169?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=1MGqHyKXa5sdxQ1LqcZ3Uw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
9,Boldly Go Philanthropy,Impact Analyst,"Washington, DC",5 days ago,INVALID LINK,https://www.linkedin.com/jobs/view/impact-analyst-at-boldly-go-philanthropy-3732300249?refId=5ArCIFWuJgBRfdHtGqjY%2FQ%3D%3D&trackingId=tjvq%2FcrEBuhtKScYg4kXVQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,0
